price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Features,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Land Mark,Used For
"रू. 2,75,00,000",HB-6AB020,Imadol,Not Available,Negotiable,6 months ago,2028-01-26,House - Individual,2,3,4,5,Pitched,,0302,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-downtown-in-nepal/6ab020535aea4bcda227fe212a3c32fa,,
"रू. 2,40,00,000",HB-6516CF,"akashedhara, Akasedhara (Kapan), Kathmandu",Available,Not Negotiable,11 months ago,2023-07-30,House - Individual,2,2.5,3,6,Pitched,,3,679,Semi,2,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kapan-in-kathmandu/6516cf832ff54813b772c7f7ee850719,,
"रू. 2,75,00,000",HB-581F66,"Khadkagaon, Budhanilkantha, Kathmandu, Bagmati Pradesh, 22644, Nepal",Not Available,Negotiable,4 months ago,2023-07-01,HouseIndividual,3,2.5,4,5,Pitched,,4 aana,N/A,Non,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-hattigauda-budhanilkantha-in-kathmandu/581f663bb3574bacb760fccee85f2c30,,
"रू. 4,60,00,000",HB-C4620A,"Khumaltar, Lalitpur",Not Available,Negotiable,5 months ago,2023-07-30,HouseIndividual,2,2.5,4,5,Pitched,,4.5,2700sqf,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-khumaltar-lalitpur-in-lalitpur/c4620ac0299e4ba59d1b758de952392b,,
"रू. 1,20,00,000",HB-570812,"Urlabari, Uralabari, Morang, Province #1, 56604, Nepal",Not Available,Negotiable,9 months ago,2023-08-31,House - Individual,1,2.5,1,9,Pitched,,11,3299,Semi,0,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-morang/57081228b47e4415add175226209497d,,
"रू. 2,40,00,000",HB-4E9861,"Imadol-Hattiban Road, इमाडोल",Not Available,Negotiable,15 hours ago,2023-07-14,House - Individual,2,3,4,4,Gravel,,3,2564,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/4e9861a3ccb6f374a92ce17946dcaa06,,no
"रू. 2,55,00,000",HB-830799,"Tikathali (Mahalaxmi), Lalitpur",Not Available,Negotiable,4 months ago,2023-07-31,HouseIndividual,2,2.75,3,7,Gravel,O,3.2.1,O,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/tikathali-naya-ghar-bikrima-321aana-in-lalitpur/830799d631ab4369bd8690f015ee9711,Tikathali gabish -5,O
"रू. 5,60,00,000",HB-3C73B1,"Bhangal (Budhanilkantha) , bangal",Available,Negotiable,1 years ago,2023-12-29,House - Individual,3,2.5,3,6,Pitched,"Parking, Water supply, Peaceful Area",8,,Non,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-budhanilkhantha-in-nepal/3c73b1fe03f846b9a147fc18f6811a10,,
"रू. 3,25,00,000",HB-3039033,Kathmandu > Bafal,Not Available,Negotiable,1 years ago,2024-04-04,,,4,6,16,Pitched,,6,800,Semi,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-bafal-matadevi-petrol-pump-bata-1-in-kathmandu/6526de0399e945c89de4705188fd84c8,à¤¬à¤¾à¤«à¤² à¤®à¤¤à¤¦à¥‡à¤µà¥€ à¤ªà¥‡à¤Ÿà¥à¤°à¥‹à¤² à¤ªà¤®à¥à¤ª à¤¬à¤¾à¤Ÿ à¥§à¥«à¥¦ à¤®à¥€à¤Ÿà¤° à¤­à¤¿à¤¤à¥à¤°,7 years
"रू. 3,50,00,000",HB-3023340,Kathmandu > Kalanki,Not Available,Negotiable,1 years ago,2030-05-26,,2,5,8,20,Pitched,,,1500,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/kalanki-ko-ghar-bikri-ma-in-kathmandu/8cca2844651a473aae88f62b3ba324a4,Kalanki pool,1 year
"रू. 1,40,00,000",HB-01FB30,"kritipur, Dhalpa (Kirtipur), Kathmandu",Available,Not Negotiable,8 months ago,2023-12-12,House - Individual,0,0,0,0,Others,,3,0,Full,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kirtipur-in-kathmandu/01fb30f9a4634c3097ed8f9e960ef960,,
"रू. 1,85,00,000",HB-2550C0,"Yogikuti, Rupandehi (Butwal)",Not Available,Not Negotiable,8 days ago,2023-07-08,HouseIndividual,2,2,4,4,Pitched,,9.5 Dhur,2050,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-rupandehi/2550c046fdb94c7b8339004c88b84218,,
"रू. 2,40,00,000",HB-04F283,"सीतापाखा, इमाडोल",Not Available,Negotiable,29 days ago,2023-06-17,House - Individual,2,3,4,5,Soil (Mato),,0230,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/04f283c5454045c38ed7d6f1e0ee7d98,,
"रू. 5,75,00,000",HB-03F30F,"त्रिमूर्ति एकेडेमी, Jana Marg, Milijuli Tol, Chappal Karkhana, Kathmandu",Not Available,Negotiable,11 months ago,2024-07-27,Bunglow,1,..,2,4,Pitched,,0-6-0-0,..,Semi,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/basghari-ma-6-aana-ma-baneko-bungalow-bikrima-in-kathmandu/03f30f96857a47bb95c77d7d1c839e81,,
"रू. 12,50,00,000",HB-3CC2AE,"Sanepa, Lalitpur",Not Available,Negotiable,7 months ago,2025-12-21,Bunglow,2,2.5,7,7,Pitched,,12.4,5000,Non,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-sanepa-in-lalitpur/3cc2ae0b0c844fff86dc71ab931a952e,Sanepa Lalitpur,
"रू. 3,50,00,000",HB-2227264,Kathmandu > Mandikatar (Dhumbarahi),Not Available,Not Negotiable,3 years ago,2024-05-31,,,2.5,,,Pitched,"3, Parking Space",4.5,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/45-ana-land-25-storied-house-on-sale-mandikhatar-in-bara/a9bf1238ff8e49d388e24815d5545ab7,mandikatar,
"रू. 2,20,00,000",HB-A18AF2,"एकता नगर चोक, खड्काटोल, खड्कागाउ, ललितपुर महानगरपालिका, ललितपुर, Bagmati Pradesh, नेपाल",Not Available,Negotiable,3 months ago,2023-07-26,House - Individual,2,2,8,8,Soil (Mato),,3,1169,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/tikathali-lalitpur-ma-ghar-bikri-ma-in-nepal/a18af212d4c244419ceb91375d753bf7,,
"रू. 4,50,00,000",HB-CB0647,"Imadol (Mahalaxmi), Lalitpur",Available,Not Negotiable,8 months ago,2023-11-19,House - Individual,0,2,4,0,Pitched,,5,0,Full,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-imadol-in-lalitpur/cb0647dd2a5a42728e30a3972d5502b3,,
"रू. 2,50,00,000",HB-B089B4,"sanogaon sanogaun, Sanagau (Mahalaxmi), Lalitpur",Not Available,Negotiable,11 days ago,2030-01-01,HouseIndividual,1,3,1,1,Gravel,,3.1.0,1,Full,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/sanogau-3-in-lalitpur/b089b4827eb14c028e02329565c5ea6f,,
"रू. 3,40,00,000",HB-08A2AD,"Achham (Other Area), Achham",Not Available,Negotiable,11 days ago,2023-07-05,HouseIndividual,2,3,4,5,Pitched,"public transportation, near by hospitals, college and schools, temples, etc",Land area :- 4 aana 1 paisa,2940 sq.ft,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/in-nepal/08a2adafec754b548ed543a1d591d619,https://maps.app.goo.gl/vhdg5x4cxHmHwJa27?g_st=iv,Residential for one year
"रू. 4,50,00,000",HB-AA7EA4,"new baneshwar naya baneswor sankhamul, Shankhamul (New Baneshwor), Kathmandu",Available,Not Negotiable,11 months ago,2023-07-30,House - Individual,0,5.5,4,6,Pitched,,0,0,Non,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-shankhamul-in-kathmandu/aa7ea4462f634f7c9414f3d80f823419,,
"रू. 2,50,00,000",HB-4022FB,"Imadol (Mahalaxmi), Lalitpur",Available,Negotiable,7 months ago,2023-07-31,House - Individual,2,2.5,3,5,Pitched,,2.75,1550,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-imadol-in-lalitpur/4022fba2b20447ed9c6c61686ab619b8,,
"रू. 3,80,00,000",HB-66F874,"stock broker office, Ghumti Kumari Marg, Turning, Baneshwar, Kathmandu, Bagmati Pradesh, 44703, Nepal",Not Available,Negotiable,7 months ago,2023-06-28,HouseIndividual,2,3.5,3 with 1 M.B. Attached,6,Pitched,"Centre Area with Near School, Collage, Hospital, Bank & Market",3 Aana,3300,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-sale-at-gumti-kumari-marg-baneshwor-in-kathmandu/66f8748590da4b04be888bdc71054906,Baneshwor,Residental
"रू. 4,70,00,000",HB-7D034B,"budanilkantha, Budhanilkantha, Kathmandu",Not Available,Negotiable,8 days ago,2023-07-08,HouseIndividual,2,2.5,5,4,Pitched,Good,6,2200,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-budalinkantha-kathmandu-in-kathmandu/7d034b37e5794dc381868d1454823810,Near by park village,
"रू. 4,35,00,000",HB-62D472,Lalitpur,Not Available,Negotiable,7 months ago,2023-11-24,Bunglow,2,3,4,5,Pitched,,55,1700,Semi,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/attractive-bungalow-on-sell-in-lalitpur/62d472ec08d24e3d98cec16292835129,,
