,Floors,City,Address,Land,Price,Bedroom,Bathroom,Face,Road
553,2.5, Kathmandu,Goldhunga,1129.425,17000000.0,5.0,3.0,south,10.0
554,2.5, Lalitpur,Thecho,1369.0,26000000.0,4.0,3.0,south,10.0
555,3.0,Kathmandu,Jorpati,1112.3125,14000000.0,0.0,0.0,east,10.0
556,2.5, Kathmandu,Ramkot,1129.425,17500000.0,3.0,3.0,south east,10.0
557,3.0,Kathmandu,Basundhara,1369.0,30000000.0,4.0,4.0,south,10.0
558,3.0,Kathmandu,Jorpati,1026.75,16500000.0,9.0,3.0,south west,10.0
559,2.0,Kathmandu,Jorpati,2224.625,50000.0,6.0,3.0,east,10.0
560,3.0, Kathmandu,Paiyuntar,1369.0,29000000.0,,,south east,10.0
561,2.5, Kathmandu,Balaju,3114.475,57500000.0,,,west,10.0
562,2.5,Kathmandu,Kalanki,1369.0,17000000.0,4.0,3.0,north west,10.0
563,3.0, Bhaktapur,Jhaukhel,1403.225,14000000.0,2.0,,north east,10.0
564,2.5, Kathmandu,Goldhunga,1403.225,20000000.0,6.0,3.0,west,10.0
565,4.0,Lalitpur,Chakupat,684.5,14000000.0,5.0,2.0,north,10.0
566,3.0,Kathmandu,Guheshwori,1026.75,15500000.0,0.0,0.0,east,10.0
567,3.5, Lalitpur,Bhaisepati,1711.25,35000000.0,,,east,10.0
568,3.0, Kathmandu,Naya Basti,1711.25,28000000.0,7.0,5.0,east,10.0
569,,Kathmandu,Kalopul,1283.4375,29000000.0,0.0,0.0,west,10.0
570,3.5, Kathmandu,Pasikot,1745.475,32500000.0,5.0,2.0,east,10.0
571,,Kathmandu,Kalopul,1283.4375,29000000.0,0.0,0.0,west,10.0
572,1.0, Kathmandu,Kalanki,1437.45,18000000.0,4.0,3.0,east,10.0
573,2.5, Kathmandu,Rudreshwor,2053.5,35000000.0,,,east,10.0
574,2.5, Kathmandu,Dhapasi,2053.5,32500000.0,5.0,1.0,east,10.0
575,1.0,Kathmandu,Gurujudhara,1112.3125,8500000.0,2.0,1.0,west,10.0
576,1.0,Kathmandu,Gurujudhara,1112.3125,8500000.0,2.0,1.0,west,10.0
577,3.0,Kathmandu,Balkhu,3080.25,49500000.0,7.0,7.0,south,10.0
578,3.5, Kathmandu,Dhumbarahi,2429.975,57000000.0,8.0,8.0,east,10.0
579,3.0,Kathmandu,Budhanilkantha,1197.875,19000000.0,8.0,4.0,north,10.0
580,1.0, Bhaktapur,Sudal,1095.2,10500000.0,2.0,1.0,west,10.0
581,2.5,Kathmandu,Goldhunga,1026.75,16500000.0,6.0,3.0,south east,10.0
582,3.5, Kathmandu,Kapan,2053.5,29500000.0,,,east,10.0
583,2.5, Kathmandu,Goldhunga,1095.2,25000000.0,5.0,,west,10.0
584,3.5, Kathmandu,Gongabu,1437.45,22500000.0,6.0,3.0,east,10.0
585,4.0,Lalitpur,Dhapakhel,1369.0,25600000.0,0.0,0.0,east,10.0
586,5.0,Kathmandu,Gongabu,1540.125,29000000.0,10.0,6.0,west,10.0
587,1.0,Kathmandu,Balaju,4534.8125,29150000.0,1.0,1.0,east,10.0
588,,Kathmandu,Gothatar,941.1875,16200000.0,0.0,0.0,south,10.0
589,4.0, Kathmandu,Dillibazar,1813.925,35500000.0,,4.0,west,10.0
590,3.0,Kathmandu,Kapan,1369.0,27000000.0,11.0,3.0,south east,10.0
591,3.5, Kathmandu,Goldhunga,1711.475,29900000.0,8.0,4.0,west,10.0
592,3.5, Bhaktapur,Sudal,1129.425,21000000.0,10.0,3.0,east,10.0
593,3.0, Kathmandu,Banasthali,1711.25,32500000.0,,,west,10.0
594,3.0, Kathmandu,Gurjudhara,1437.45,18500000.0,4.0,3.0,east,10.0
595,2.5, Lalitpur,Changathali,1369.0,17000000.0,7.0,3.0,east,10.0
596,2.5, Kathmandu,Gothatar,1369.0,38000000.0,8.0,5.0,east,10.0
597,2.0, Kathmandu,Gongabu,1711.25,37000000.0,4.0,2.0,west,10.0
598,2.5, Kathmandu,Machhapokhari,1369.0,30000000.0,,,east,10.0
599,2.5, Kathmandu,Thankot,1711.25,22000000.0,6.0,3.0,west,10.0
600,3.5, Kathmandu,Goldhunga,1540.125,29900000.0,8.0,4.0,west,10.0
601,,Lalitpur,Dhapakhel,1860.984375,25000000.0,6.0,3.0,north,10.0
602,4.5, Kathmandu,Gongabu,1437.45,31500000.0,12.0,7.0,west,10.0
603,3.0,Lalitpur,Dhapakhel,1540.125,21500000.0,0.0,0.0,south west,10.0
604,2.5, Kathmandu,Dhumbarahi,1369.0,38000000.0,3.0,3.0,east,10.0
605,3.0, Lalitpur,Nakkhu,1403.225,36000000.0,5.0,3.0,north east,10.0
606,2.5, Kathmandu,Greenland Chowk,3080.25,45000000.0,7.0,4.0,east,10.0
607,1.0, Kathmandu,Thali,1095.2,13300000.0,2.0,1.0,west,10.0
608,5.5, Kathmandu,Putalisadak,410.7,44000000.0,,7.0,west,10.0
609,3.0, Kathmandu,Syuchatar,1369.0,37000000.0,6.0,4.0,north,10.0
610,7.0, Kathmandu,Anamnagar,5133.75,400000000.0,,,south west,10.0
611,2.5, Kathmandu,Mahadevtar,1369.0,24000000.0,5.0,3.0,north,10.0
612,2.5,Kathmandu,Baluwatar,1711.25,39000000.0,7.0,3.0,north,10.0
613,2.5, Kathmandu,Gongabu,2738.0,51500000.0,,,south west,10.0
614,2.5, Kathmandu,Makalbari,2087.725,35000000.0,6.0,,south west,10.0
615,2.5,Kathmandu,Kalanki,1369.0,17000000.0,4.0,3.0,north west,10.0
616,3.0,Kathmandu,Tokha,1540.125,24500000.0,7.0,3.0,south east,10.0
617,3.0,Kathmandu,Thapathali,2181.84375,9000000.0,6.0,3.0,east,10.0
618,2.5, Lalitpur,Dhapakhel,1437.45,21500000.0,,,south west,10.0
619,2.5, Kathmandu,Tyanglafat,1026.75,24500000.0,7.0,4.0,north east,10.0
620,4.0, Kathmandu,Kapan,1026.75,25000000.0,,,north east,10.0
621,3.0,Kathmandu,Banasthali,1069.53125,19000000.0,8.0,0.0,south,10.0
622,3.0, Kathmandu,Paiyuntar,1163.65,28500000.0,17.0,,north east,10.0
623,3.0,Kathmandu,Budhanilkantha,1112.3125,16000000.0,4.0,3.0,east,10.0
624,2.5, Kathmandu,Tokha,1369.0,26000000.0,6.0,3.0,north east,10.0
625,2.5, Kathmandu,Goldhunga,1369.0,19500000.0,4.0,5.0,north east,10.0
626,2.5,Kathmandu,Raniban,1540.125,23500000.0,5.0,3.0,west,10.0
627,4.5, Lalitpur,Satdobato,3114.475,70000000.0,12.0,4.0,east,10.0
628,2.5, Kathmandu,Ichangu Narayan,1129.425,31000000.0,4.0,3.0,north,10.0
629,,Kathmandu,Pepsicola,1026.75,18000000.0,0.0,0.0,south,10.0
630,,Kathmandu,Baluwatar,1882.375,39000000.0,0.0,0.0,north east,10.0
631,2.5, Kathmandu,Baluwakhani,1095.2,27500000.0,6.0,4.0,west,10.0
632,,Kathmandu,Halchowk,1026.75,31000000.0,0.0,4.0,west,10.0
633,4.0, Kathmandu,Paiyuntar,1060.975,18500000.0,7.0,5.0,west,10.0
634,3.5, Kathmandu,Gongabu,1060.975,37500000.0,8.0,3.0,west,10.0
635,,Lalitpur,Baghdol,7529.5,50000.0,2.0,1.0,south west,10.0
636,3.0,Kathmandu,Tokha,1540.125,24500000.0,7.0,3.0,south east,10.0
637,3.5, Kathmandu,Pepsicola,1026.75,26000000.0,8.0,4.0,north,10.0
638,,Kathmandu,Pepsicola,1283.4375,16000000.0,0.0,0.0,east,10.0
639,3.0, Kathmandu,Tokha,1026.75,17000000.0,4.0,,west,10.0
640,3.0, Kathmandu,Gairi Gaun,1060.975,25000000.0,,,north,10.0
641,2.5, Kathmandu,Lolang,1026.75,25500000.0,8.0,3.0,west,10.0
642,2.5, Kathmandu,Naikap,1060.975,20000000.0,4.0,2.0,north,10.0
643,3.0,Kathmandu,Pepsicola,1454.5625,27500000.0,0.0,3.0,east,10.0
644,1.0, Kathmandu,Grande Hospital,1095.2,19000000.0,3.0,1.0,north,10.0
645,2.5, Kathmandu,Naya Basti,1095.2,26000000.0,5.0,2.0,north,10.0
646,5.0, Kathmandu,Kalanki,1026.75,60000000.0,1.0,1.0,west,10.0
647,, Kathmandu,Halchowk,787.175,15000000.0,6.0,3.0,west,10.0
648,3.5, Kathmandu,Samakhusi,1026.75,25500000.0,6.0,4.0,north,10.0
649,,Kathmandu,Goldhunga,1369.0,19500000.0,0.0,0.0,north east,10.0
650,3.0,Kathmandu,Shantinagar,2224.625,42500000.0,6.0,0.0,north,10.0
651,4.5,Kathmandu,Basundhara,1454.5625,42500000.0,8.0,4.0,north east,10.0
652,2.5,Kathmandu,Mulpani,1369.0,24500000.0,6.0,3.0,east,10.0
653,2.5, Kathmandu,Aakasedhara,1369.0,19000000.0,,,,10.0
654,3.0,Kathmandu,Lazimpat,2053.5,30000000.0,0.0,0.0,south east,10.0
655,3.0, Kathmandu,Paknajol,3080.25,72500000.0,,,,10.0
656,2.5,Kathmandu,Sitapaila,1347.6,17500000.0,3.0,3.0,south west,10.0
657,3.0,Kathmandu,Manamaiju,855.625,13500000.0,4.0,3.0,east,10.0
658,3.0,Bhaktapur,Suryabinayak,1026.75,20200000.0,7.0,4.0,east,10.0
659,3.5,Kathmandu,Mulpani,1000.0,16000000.0,4.0,3.0,east,10.0
660,2.5,Kathmandu,Kapan,1197.875,23500000.0,5.0,3.0,south east,10.0
661,3.0, Kathmandu,Gaurighat,2053.5,50000000.0,5.0,5.0,,10.0
662,2.5,Kathmandu,Maharajgunj,2738.0,48000000.0,7.0,5.0,south,10.0
663,2.5,Kathmandu,Itakhel,1711.25,22000000.0,6.0,3.0,east,10.0
664,3.0,Kathmandu,Manamaiju,855.625,13500000.0,4.0,3.0,east,10.0
665,10.0,Kathmandu,Kapan,1454.5625,17000000.0,8.0,3.0,north,10.0
666,4.0,Kathmandu,Balaju,1582.9,50000000.0,8.0,8.0,south,10.0
667,3.5,Lalitpur,Imadol,898.44,25000000.0,6.0,3.0,east,10.0
668,2.5,Kathmandu,Samakhusi,1711.25,45000000.0,7.0,4.0,east,10.0
669,3.5,Kathmandu,Panga,1026.75,13500000.0,4.0,3.0,south,10.0
670,3.0,Kathmandu,Tinthana,2762.29975,50000000.0,7.0,3.0,north west,10.0
671,2.5,Lalitpur,Hattiban,1026.75,18000000.0,4.0,3.0,north east,10.0
672,2.5,Kathmandu,Kageshwori Manahara-6,1026.75,15000000.0,6.0,3.0,north,10.0
673,2.5,Kathmandu,Padamshal,1882.375,26000000.0,6.0,3.0,south east,10.0
674,2.5,Lalitpur,Dhunge Sangu,1283.4375,27500000.0,7.0,5.0,north east,10.0
675,3.0,Bhaktapur,Duwakot,1369.0,14500000.0,6.0,3.0,north,10.0
676,3.5,Kathmandu,Shantinagar,1540.125,45500000.0,6.0,4.0,east,10.0
677,4.5,Kathmandu,Ranibari,2652.4375,45000000.0,7.0,8.0,west,10.0
678,3.0,Kathmandu,Kapan,1369.0,29000000.0,1.0,1.0,south east,10.0
679,3.5,Lalitpur,Near Mediciti Hospital,3807.53125,62500000.0,8.0,6.0,,10.0
680,3.5,Kathmandu,Naya Bazar,2053.5,95000000.0,8.0,3.0,south west,10.0
681,1.0,Kathmandu,Manamaiju,1197.875,16500000.0,0.0,0.0,south,10.0
682,3.5,Bhaktapur,Lokanthali,1197.875,27500000.0,8.0,4.0,west,10.0
683,2.5,Kathmandu,Sitapaila,1711.25,29000000.0,4.0,4.0,west,10.0
684,4.5,Kathmandu,Mitranagar,1882.37,37500000.0,22.0,14.0,south,10.0
685,2.5,Lalitpur,Imadol,1047.285,24000000.0,4.0,4.0,west,10.0
686,2.5,Lalitpur,Imadol,1026.75,21000000.0,6.0,3.0,south east,10.0
687,2.5,Kathmandu,Dhumbarahi,4107.0,75000000.0,5.0,5.0,east,10.0
688,3.0, Kathmandu,Chabahil,2053.5,50000000.0,,,,10.0
689,2.5,Kathmandu,Dhapasi,2395.75,50000000.0,4.0,4.0,south,10.0
690,3.0,Kathmandu,Koteshwor,919.796875,33000000.0,0.0,3.0,east,10.0
691,3.5,Bhaktapur,Changunarayan,1283.43,21000000.0,8.0,3.0,east,10.0
692,,Kathmandu,Dharmasthali,1454.5625,15500000.0,0.0,0.0,west,10.0
693,1.0,Kathmandu,Kadaghari,1026.75,17200000.0,5.0,1.0,south,10.0
694,2.5,Lalitpur,Imadol,1026.75,17000000.0,5.0,4.0,east,10.0
695,2.5,Kathmandu,Manamaiju,1197.87,16000000.0,5.0,2.0,east,10.0
696,4.0,Bhaktapur,Lokanthali,1711.25,25500000.0,0.0,0.0,south west,10.0
697,2.0,Kathmandu,Nayabasti,1711.25,23500000.0,1.0,1.0,south,10.0
698,,Kathmandu,Kirtipur,1026.75,15000000.0,0.0,0.0,south,10.0
699,3.5,Kathmandu,Koteshwor,1026.75,41500000.0,1.0,4.0,east,10.0
700,2.5,Lalitpur,Sanepa,1026.75,41000000.0,6.0,5.0,south east,10.0
701,3.0,Kathmandu,Tahachal,1540.125,39500000.0,1.0,1.0,east,10.0
702,2.5, Kathmandu,Naya Bazar,1369.0,33000000.0,5.0,4.0,,10.0
703,2.5,Kathmandu,Bansbari,1454.56,29000000.0,6.0,4.0,west,10.0
704,3.0,Kathmandu,Lazimpat,2053.5,30000000.0,0.0,0.0,south east,10.0
705,3.5,Kathmandu,Goldhunga,1500.0,29500000.0,8.0,4.0,west,10.0
706,3.0,Bhaktapur,Subarnachowk,1500.0,29500000.0,8.0,3.0,south,10.0
707,2.5,Kathmandu,Kapan,1369.0,26500000.0,5.0,3.0,east,10.0
708,2.5,Kathmandu,Chandragiri,1711.25,26500000.0,6.0,3.0,west,10.0
709,2.5,Kathmandu,Makalbari,1369.0,28000000.0,5.0,4.0,south,10.0
710,2.0,Kathmandu,Kapan,1625.68,26000000.0,2.0,2.0,north,10.0
