,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
724,23500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4.0,4.0,1026.75,13.0,Imadol Swimming Pool
727,33000000.0,"Gwarko Koteshwor Imadol, Balkumari Area, Lalitpur",2.5,4.0,6.0,1026.75,13.0,"Imadol Krishna Mandir, Occhu Height"
728,26500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4.0,4.0,1026.75,13.0,New Milenium School
732,32500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,5.0,1026.75,13.0,Imadol sital height
733,28500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,5.0,1026.75,12.0,"BOJEPOKHARI, IMADOL"
759,27000000.0,"Bode, Bhaktapur",2.5,3.0,6.0,1711.25,13.0,Bode Bhaktapur
760,35000000.0,Gothatar (Kageshwor) >,2.5,4.0,7.0,1711.25,13.0,dotel dairy
761,50000000.0,Kathmandu > Baluwatar,2.5,4.0,4.0,1711.25,13.0,Baluwatar pabitraworkshop
762,39000000.0,"Badikhel (Godawari), Lalitpur",2.5,4.0,5.0,1711.25,20.0,Godawari
766,37500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,5.0,6.0,1711.25,13.0,SITAL HEIGHT FAMILY RESORT
768,49000000.0,Kathmandu > Budhanilkantha,2.5,5.0,6.0,1711.25,13.0,Near comfort housing
771,40000000.0,"mandhikatar, Mandikatar (Dhumbarahi), Kathmandu",2.5,4.0,5.0,1668.46,13.0,mandikhatar height
779,19500000.0,Lalitpur > Lamatar (Mahalaxmi),2.5,2.0,3.0,1197.875,13.0,"Property Address:Â Lamatar, GREEN VALLEY HOMES Housing,"
781,23000000.0,Kathmandu > Gokarna (Gokarneshwar),2.5,3.0,7.0,1197.875,13.0,Maitinepal gokarna
782,9800000.0,Dhading > Nilkantha,2.5,3.0,8.0,1197.875,13.0,Dhadingbesi dhading
783,28500000.0,Lalitpur > Bhaisepati / Sainbu,2.5,3.0,4.0,1197.875,13.0,Bhaisepati near nepal sbi bank
784,31000000.0,"Sainbu, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 13775, Nepal",2.5,3.0,4.0,1197.875,13.0,"Behind Radio Tower, inside GOKUL AWASH"
785,41000000.0,"Bafal, Kathmandu",2.5,5.0,5.0,1219.26,13.0,Solti Hotel
788,28000000.0,Kathmandu > Bhangal (Budhanilkantha),2.5,5.0,4.0,1197.875,12.0,near valley public high school bhangal sundarbasti budhanilkantha..
789,34000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,5.0,10.0,1197.875,13.0,"imadol, lalitpur"
790,24000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3.0,4.0,1197.875,13.0,Near Lulu Home
794,27500000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4.0,5.0,1197.875,13.0,"imadol, nayabasti"
795,45000000.0,"Golfutar (Budhanilkantha), Kathmandu",2.5,4.0,7.0,1369,20.0,Hapali hight
796,29500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3.0,5.0,1240.65,13.0,sitalheight
801,26000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,2.0,1369,13.0,Satdobato
802,17000000.0,"Lalitpur City, Lalitpur",2.5,3.0,7.0,1369,12.0,Chagathali Buspark
803,17500000.0,"Lubhu (Mahalaxmi), Lalitpur",2.5,3.0,6.0,1369,12.0,Near chagathali buspark
804,23500000.0,"Shri Taudaha Rastriya Higher Secondary School, Dakchhinkali Road, Chobhar, Taudaha, Kirtipur Municipality, Kathmandu, Bagmati Pradesh, 13775, Nepal",2.5,3.0,5.0,1369,13.0,Lake
805,36000000.0,"Sukedhara, Kathmandu",2.5,5.0,5.0,1283.43,13.0,Sukedhara
809,26000000.0,"chandagiri, Chandragiri, Kathmandu",2.5,5.0,6.0,1369,13.0,Mahadevsthan Temple
811,39000000.0,"suchatar, Syuchatar (Kalanki), Kathmandu",2.5,3.0,4.0,1369,13.0,150m outside ringroad
814,30500000.0,"Nagarjun, Tarakeshwar, Kathmandu, Bagmati Pradesh, 19975, Nepal",2.5,4.0,4.0,1369,13.0,Nagarjun School
830,220000000.0,"Koteshwor, Kathmandu",2.5,8,12,5476,13.0,koteshwor
