Price,Views,Land Area,Road Access,Facing,Floor,Parking,Bedroom,Bathroom,Furnish Status,Amenity,City,district
22000000.0,720,3.0,13.0,South,2.5,4.0,5.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Terrace,Power Backup,Bed Room,Bathroom,Living Room,+ 1 See More",Lubhu, Lalitpur
85000000.0,507,9.3,12.0,South,2.5,3.0,6.0,5.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Bathroom,Bed Room,Dining Room,+ 4 See More",Thecho, Lalitpur
20000000.0,2.2,2.5,13.0,East,2.5,2.0,4.0,3.0,Full-Furnished,"Marbel,Parquet,Earthquake Resistant,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bathroom,Bed Room,+ 2 See More",Nakhipot, Lalitpur
23000000.0,301,4.0,27.0,North,3.5,3.0,4.0,4.0,Full-Furnished,"Drainage,Parking,Balcony,Terrace,Dining Room,Bathroom,Bed Room,Living Room,Kitchen,Marbel,Parquet,+ 3 See More",Hattiban, Lalitpur
55000000.0,637,4.0,13.0,West,2.5,3.0,3.0,3.0,Full-Furnished,,Naxal, Kathmandu
36000000.0,696,12.0,20.0,East,2.5,8.0,7.0,7.0,Semi-Furnished,,Dhaksi, Kathmandu
37000000.0,149,3.2,14.0,North-East,2.5,2.0,4.0,3.0,Full-Furnished,,Bafal, Kathmandu
34000000.0,667,4.0,13.0,East,3.0,3.0,6.0,4.0,Full-Furnished,"Parking,Garden,Drinking Water,Drainage,Parquet,Marbel,Balcony,Terrace,Dining Room,Bathroom,Living Room,+ 2 See More",Banasthali, Kathmandu
57500000.0,213,9.0,12.0,South,2.5,4.0,4.0,3.0,Full-Furnished,"Drinking Water,Balcony,Parking,Garden,Drainage,Marbel,Parquet,Terrace,Bed Room,Bathroom,Living Room,+ 3 See More",Budhanilkantha, Kathmandu
120000000.0,490,12.0,16.0,North,1.5,9.0,3.0,2.0,Full-Furnished,,Chabahil, Kathmandu
22000000.0,95 ,5.0,10.0,West,2.5,5.0,6.0,3.0,Full-Furnished,"Marbel,Parquet,Drainage,Garden,Parking,Drinking Water,Balcony,Bed Room,Dining Room,Bathroom,Living Room,+ 1 See More",Thankot, Kathmandu
23000000.0,129,2.3,13.0,South,2.5,3.0,5.0,5.0,Un-Furnished,,Sampang Chowk, Lalitpur
15000000.0,815,3.1,10.0,South,1.0,3.0,2.0,1.0,Un-Furnished,,Danchhi, Kathmandu
16800000.0,207,1.1,20.0,East,3.5,2.0,3.0,3.0,Un-Furnished,"Parquet,Drainage,Solar,Drinking Water,Reserve Tank,Terrace,Internet,Dining Room,Bed Room,Bathroom,Prayer Room,+ 3 See More",New Baneshwor, Kathmandu
17300000.0,147,3.0,5.0,South,2.5,6.0,1.0,1.0,Full-Furnished,,Kadaghari, Kathmandu
12500000.0,135,2.0,12.0,South-West,2.5,3.0,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Well,Bed Room,Bathroom,+ 1 See More",Kapan, Kathmandu
77000000.0,286,6.2,30.0,West,2.5,2.0,4.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,CC Camera,Drainage,Solar,Garden,Parking,Gazebo,Boring Water,Well,+ 23 See More",Hattigaunda, Kathmandu
22000000.0,266,5.0,10.0,South,2.5,5.0,6.0,3.0,Semi-Furnished,"Marbel,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Lawn,Well,Internet,Dining Room,+ 4 See More",Mahadevsthan, Kathmandu
31000000.0,150,3.8,13.0,East,2.5,2.0,5.0,3.0,Un-Furnished,,Pasikot, Kathmandu
29900000.000000004,2.1,4.0,13.0,South-East,2.5,,,,Un-Furnished,,Pasikot, Kathmandu
135000000.0,877,13.0,16.0,South,2.5,8.0,7.0,5.0,Un-Furnished,"Marbel,Drainage,Garden,Parking,Boring Water,Well,Terrace,Lawn,Reserve Tank,Balcony,Drinking Water,+ 6 See More",Bhaisepati, Lalitpur
21000000.0,613,3.0,10.0,South,2.5,4.0,5.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Drinking Water,Reserve Tank,Terrace,Boring Water,Modular Kitchen,Bed Room,Bathroom,+ 5 See More",Gothatar, Kathmandu
13000000.0,276,4.2,13.0,North-East,1.0,,2.0,1.0,Un-Furnished,,Dharmasthali, Kathmandu
18500000.0,1.5,5.2,16.0,,1.0,,2.0,1.0,Un-Furnished,,Dulal Gaun, Kathmandu
60000000.0,103,3.0,10.0,West,5.0,6.0,1.0,1.0,Semi-Furnished,,Kalanki, Kathmandu
