,price,views,land area,road access,facing,floor,parking,bedroom,bathroom,furnish status,amenity,city,district
412,Rs. 7.1 Cr,97 ,4.0 ,10-12 Feet,South-East,3.5,,,6.0,,,Nakhipot, Lalitpur
413,Rs. 3.7 Cr,156,5.0 ,13 Feet,South-West,2.5,,6.0,6.0,,,Imadol, Lalitpur
414,Rs. 3.95 Cr,222,5.2 ,13 Feet,East,2.5,,4.0,4.0,,,Kusunti, Lalitpur
415,Rs. 3.25 Cr,117,4.0 ,10 Feet,,3.5,,,,,,Kharibot, Kathmandu
416,Rs. 13.5 Cr,727,14.0 ,20 Feet,South-East,3.5,,5.0,6.0,,,Dhapasi, Kathmandu
417,Rs. 2.2 Cr,137,2.3 ,10 Feet,,3.0,,4.0,3.0,,,Imadol, Lalitpur
418,Rs. 12.5 Cr,121,6.0 ,13 Feet,South-East,6.0,,,,,,Thamel, Kathmandu
419,Rs. 1.2 Cr,356,3.0 ,20 Feet,West,2.5,,,,,,Dhapasi, Kathmandu
420,Rs. 7 Cr,110,5.1 ,12 Feet,North-East,5.5,,,,,,Bagbazar, Kathmandu
421,Rs. 5.5 Cr,89 ,5.2 ,13 Feet,South,2.5,,,,,,Sukedhara, Kathmandu
422,Rs. 2.8 Cr,84 ,5.2 ,12/13 Feet,North-East,1.0,,,,,,Pasikot, Kathmandu
423,Rs. 4.5 Cr,410,6.1 ,13 Feet,West,2.5,,5.0,5.0,,,Satdobato, Lalitpur
424,Rs. 4.6 Cr,123,3.0 ,10 Feet,South,4.0,,8.0,5.0,,,Shantinagar, Kathmandu
425,Rs. 3 Cr,114,3.0 ,8 Feet,South,2.5,,5.0,3.0,,"Earthquake Resistant,Marbel,Dining Room,Bed Room,Parking,Internet,Drinking Water,Bathroom,TV,Drainage,Solar,+ 1 See More",Maitidevi, Kathmandu
426,Rs. 3.25 Cr,183,3.3 ,13 Feet,South,2.5,,,,,,Imadol, Lalitpur
427,Rs. 3.75 Cr,122,4.0 ,16 Feet,East,2.5,,,,,,Imadol, Lalitpur
428,Rs. 1.45 Cr,210,3.0 ,10 Feet,,1.0,,2.0,,,,Thankot, Kathmandu
429,Rs. 2.6 Cr,176,3.3 ,10-12 Feet,,3.0,,,,,,Kalanki, Kathmandu
430,Rs. 2.4 Cr,293,4.0 ,14 Feet,East,2.0,,4.0,2.0,,,Maharajgunj, Kathmandu
431,Rs. 3.8 Cr,104,4.0 ,10 Feet,East,2.5,,3.0,3.0,,,Dhumbarahi, Kathmandu
433,Rs. 2.55 Cr,178,4.2 ,20 Feet,North-East,2.0,,5.0,4.0,,,Kalanki, Kathmandu
434,Rs. 3.1 Cr,213,4.0 ,12 Feet,North,3.5,,8.0,3.0,,,Kapan, Kathmandu
435,Rs. 2.4 Cr,75 ,3.2 ,26 Feet,West,3.5,,,3.0,,,Lolang, Kathmandu
436,Rs. 4.25 Cr,3.2,2158 sq. ft,20 Feet,South-East,2.5,,4.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Sofa,Dining Room,Microwave,AirCon,Water Purifier,Washing Machine,Power Backup,Bed Room,+ 13 See More",Imadol, Lalitpur
437,Rs. 19 Cr,1k ,13.0 ,20 Feet,South-East,,,4.0,5.0,,,Maharajgunj, Kathmandu
438,Rs. 3.45 Cr,236,4.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
439,Rs. 13.8 Cr,146,16.0 ,8-10 Feet,West,4.0,,,,,,Ratopool, Kathmandu
440,Rs. 7.4 Cr,2k ,11.0 ,13 Feet,South,3.5,,8.0,4.0,,,Sanobharyang, Kathmandu
441,Rs. 2.25 Cr,272,4.0 ,11 Feet,East,3.5,,6.0,7.0,,,Nepaltar, Kathmandu
442,Rs. 3.75 Cr,295,2600 sq. ft,20 Feet,,2.5,,4.0,4.0,,,Sunakothi, Lalitpur
443,Rs. 8.5 Cr,253,3400 sq. ft,14 Feet,,2.5,,5.0,7.0,,,Bhaisepati, Lalitpur
444,Rs. 2 Cr,254,3.0 ,9-12 Feet,,2.0,,2.0,2.0,,,Bhaktapur, Bhaktapur
445,Rs. 3.45 Cr,146,6.1 ,14 Feet,,2.0,,7.0,4.0,,,Hattigaunda, Kathmandu
446,Rs. 6.5 Cr,112,3.2 ,12-18 Feet,,3.5,,,,,,Panipokhari, Kathmandu
447,Rs. 3 Cr,105,4.0 ,32+ Feet,,3.5,,,,,,Gokarna, Kathmandu
448,Rs. 3.4 Cr,124,4.0 ,13 Feet,South-East,2.5,,5.0,4.0,,,Pasikot, Kathmandu
449,Rs. 6.75 Cr,95 ,8.0 ,11-12 Feet,South-East,2.0,,9.0,6.0,,,Dhumbarahi, Kathmandu
450,Rs. 18 Cr,1.4,16.0 ,,,2.0,,5.0,3.0,,,Budhanilkantha, Kathmandu
451,Rs. 5 Cr,403,6.0 ,9-12 Feet,,3.0,,,,,,Chabahil, Kathmandu
452,Rs. 60 Cr,215,40.0 ,20+ Feet,West,4.0,,,,,,Gongabu, Kathmandu
453,Rs. 3.3 Cr,204,4.0 ,13 Feet,,2.0,,5.0,4.0,,,Khadka Gaun, Kathmandu
454,Rs. 14 Cr,164,17.0 ,12-18 Feet,,2.5,,,,,,Dhumbarahi, Kathmandu
455,Rs. 3.4 Cr,122,4.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
456,Rs. 4.2 Cr,124,4.3 ,12 Feet,North-East,2.5,,,3.0,,,Lazimpat, Kathmandu
457,Rs. 3.45 Cr,124,4.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
458,Rs. 3.75 Cr,280,5.0 ,20 Feet,North-East,2.5,,3.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Microwave,Dining Room,CC Camera,Sofa,AirCon,Iron,Swimming Pool,+ 16 See More",Sunakothi, Lalitpur
459,Rs. 7.8 Cr,422,6.0 ,13 Feet,North-East,2.5,,4.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Microwave,Dining Room,CC Camera,Sofa,Amphitheatre,AirCon,Water Purifier,+ 14 See More",Bhaisepati, Lalitpur
460,Rs. 7.7 Cr,1.2,6.2 ,20 Feet,West,2.5,,4.0,5.0,,,Hattigaunda, Kathmandu
461,Rs. 3.8 Cr,77 ,4.0 ,18 Feet,South-East,2.5,,4.0,3.0,,,Syuchatar, Kathmandu
462,Rs. 1.55 Cr,240,2.3 ,13 Feet,South,1.0,,2.0,1.0,,,Gwarko, Lalitpur
463,Rs. 10.5 Cr,174,11.0 ,10-12 Feet,East,2.0,,4.0,4.0,,,Maharajgunj, Kathmandu
464,Rs. 12.5 Cr,60 ,10.0 ,15 Feet,,5.0,,,,,,Chhetrapati, Kathmandu
465,Rs. 2.35 Cr,100,3.0 ,13 Feet,East,2.5,,4.0,4.0,,,Imadol, Lalitpur
466,Rs. 3.5 Cr,125,2.0 ,14-20 Feet,,4.0,,,,,,Baluwatar, Kathmandu
467,Rs. 6.25 Cr,117,7.2 ,14-20 Feet,,2.5,,4.0,5.0,,,Sitapaila, Kathmandu
468,Rs. 1.8 Cr,262,3.3 ,20 Feet,South,2.5,,4.0,3.0,,,Thaiba, Lalitpur
469,Rs. 2.7 Cr,117,3.2 ,13 Feet,South,2.5,,5.0,3.0,,,Ochu Height, Lalitpur
470,Rs. 4.15 Cr,84 ,4.0 ,6 Feet,South,4.0,,5.0,5.0,,,Koteshwor, Kathmandu
471,Rs. 3.15 Cr,114,3.0 ,10 Feet,South-East,3.0,,4.0,3.0,,"Earthquake Resistant,Fridge,Marbel,Parquet,Dining Room,Washing Machine,Parking,Internet,Drinking Water,Bathroom,TV,+ 2 See More",Shankhamul, Kathmandu
472,Rs. 2.04 Cr,258,3.0 ,10/13 Feet,South-West,2.5,,4.0,3.0,,,Sanagaun, Lalitpur
473,Rs. 7.8 Cr,313,6.0 ,13 Feet,,2.0,,4.0,5.0,,,Bhaisepati, Lalitpur
474,Rs. 4.1 Cr,630,4.2 ,20 Feet,South,3.5,,6.0,6.0,,,Chardobato, Bhaktapur
475,Rs. 4 Cr,244,4.3 ,13 Feet,West,2.5,,4.0,3.0,,,Mandikhatar, Kathmandu
476,Rs. 4.35 Cr,2.3,6.0 ,13 Feet,North,3.0,,6.0,4.0,,,Deuwa chowk, Kathmandu
477,Rs. 5.8 Cr,178,10.0 ,13 Feet,East,2.0,,4.0,4.0,,,Dhapasi, Kathmandu
479,Rs. 3.8 Cr,77 ,4.0 ,10 Feet,East,2.5,,8.0,5.0,,,Gothatar, Kathmandu
480,Rs. 3 Cr,149,3.2 ,13 Feet,North-West,3.0,,12.0,5.0,,,Grande Hospital, Kathmandu
481,Rs. 1.5 Cr,189,3.0 ,10-24 Feet,South,2.5,,,,,,Danchhi, Kathmandu
482,Rs. 3 Cr,246,4.0 ,15 Feet,North,2.5,,,,,,Sainbu, Lalitpur
483,Rs. 3.5 Cr,143,6.0 ,13-20 Feet,North,2.5,,7.0,4.0,,,Harisiddhi, Lalitpur
484,Rs. 1 Cr,120,3.0 ,8 Feet,East,1.0,,2.0,1.0,,,Phutung, Kathmandu
485,Rs. 1.55 Cr,484,3.5 ,10 Feet,,2.5,,4.0,2.0,,,Thali, Kathmandu
486,Rs. 3 Cr,130,3.3 ,13 Feet,South-East,3.0,,6.0,5.0,,"Internet,Bathroom,TV,Drainage,Drinking Water,Garden,Parking,Bed Room,Parquet,Earthquake Resistant,Marbel,+ 6 See More",Chunikhel, Kathmandu
487,Rs. 2.95 Cr,281,4.1 ,13 Feet,,2.5,,6.0,5.0,,,Kapan, Kathmandu
488,Rs. 3.35 Cr,757,3.2 ,16 Feet,North,2.5,,,,,,Budhanilkantha, Kathmandu
490,Rs. 5.5 Cr,119,5.0 ,13 Feet,South,3.0,,3.0,4.0,,,Khumaltar, Lalitpur
491,Rs. 7.5 Cr,221,4.2 ,14-20 Feet,East,4.0,,,,,,Maharajgunj, Kathmandu
492,Rs. 2.95 Cr,241,3.2 ,10-12 Feet,,2.5,,,,,,Bhangal , Kathmandu
493,Rs. 1.95 Cr,411,2.2 ,10 Feet,South-West,2.5,,4.0,3.0,,,Chunikhel, Kathmandu
494,Rs. 6.8 Cr,214,6.2 ,20-26 Feet,North-East,3.5,,7.0,3.0,,,Shankhamul, Kathmandu
495,Rs. 2.3 Cr,239,3.0 ,13 Feet,West,2.5,,,,,,Gaurighat, Kathmandu
497,Rs. 1.8 Cr,330,5.2 ,11 Feet,East,3.5,,4.0,4.0,,,Mandikhatar, Kathmandu
498,Rs. 3 Lac/m,194,16.0 ,12-18 Feet,,2.5,,5.0,5.0,,,Gairidhara, Kathmandu
499,Rs. 2.7 Cr,301,3.1 ,13 Feet,South,2.5,,4.0,3.0,,,Gwarko, Lalitpur
500,Rs. 2.9 Cr,286,4.0 ,13 Feet,North,2.5,,5.0,4.0,,,Imadol, Lalitpur
501,Rs. 2.75 Cr,424,3.2 ,13 Feet,East,2.5,,4.0,4.0,,,Imadol, Lalitpur
502,Rs. 3.5 Cr,162,3.0 ,14 Feet,North-East,4.0,,4.0,7.0,,,Kirtipur, Kathmandu
503,Rs. 1.15 Cr,201,3.5 ,14-22 Feet,South,4.0,,3.0,1.0,,,Thankot, Kathmandu
504,Rs. 1.65 Cr,150,3.1 ,13 Feet,West,2.0,,5.0,1.0,,,Thankot, Kathmandu
505,Rs. 2.8 Cr,121,3.5 ,26 Feet,West,4.0,,11.0,8.0,,,Balaju, Kathmandu
506,Rs. 2.8 Cr,258,3.1 ,11 Feet,East,3.5,,8.0,6.0,,,Manamaiju, Kathmandu
507,Rs. 3.5 Cr,138,4.2 ,12 Feet,East,3.5,,12.0,6.0,,"Earthquake Resistant,Marbel,Parquet,Dining Room,Microwave,AirCon,Internet,Parking,Bed Room,Modular Kitchen,Drinking Water,+ 2 See More",Narayantar, Kathmandu
508,Rs. 1.33 Cr,412,3.2 ,10 Feet,West,1.0,,2.0,1.0,,,Thali, Kathmandu
509,Rs. 2.85 Cr,227,3.2 ,8-10 Feet,East,2.5,,4.0,3.0,,,Bhangal , Kathmandu
510,Rs. 5.8 Cr,304,10.0 ,13 Feet,East,2.0,,4.0,3.0,,,Dhapasi, Kathmandu
511,Rs. 8.2 Cr,111,6.0 ,10 Feet,South-East,3.0,,8.0,3.0,,,Suryabinayak, Bhaktapur
512,Rs. 4.6 Cr,337,5.3 ,27 Feet,North-East,3.5,,6.0,,,,Budhanilkantha, Kathmandu
513,Rs. 1.7 Cr,221,2.2 ,13 Feet,North-East,2.5,,5.0,2.0,,,Lubhu, Lalitpur
514,Rs. 8 Cr,387,9.0 ,10-12 Feet,,2.5,,,,,,Golfutar, Kathmandu
515,Rs. 3.9 Cr,817,6.0 ,13-16 Feet,South-West,3.0,,6.0,6.0,,,Budhanilkantha, Kathmandu
516,Rs. 1.6 Cr,656,3.2 ,10 Feet,South-West,2.5,,4.0,3.0,,,Jarankhu, Kathmandu
517,Rs. 7.5 Cr,208,7.2 ,12-18 Feet,,3.0,,,,,,Basundhara, Kathmandu
518,Rs. 53 Lac/aana,301,6.1 kattha,10-12 Feet,East,,,,,,,Sinamangal, Kathmandu
519,Rs. 3.5 Cr,555,8.0 ,13 Feet,North,2.5,,5.0,4.0,,,Katunje, Bhaktapur
520,Rs. 2.4 Cr,190,3.0 ,20 Feet,,2.5,,,,,,Chyau Danda, Lalitpur
521,Rs. 6.5 Cr,120,6.1 ,12-18 Feet,,2.5,,,,,,Bansbari, Kathmandu
522,Rs. 2.65 Cr,588,3.1 ,20 Feet,South,2.5,,4.0,3.0,,,Imadol, Lalitpur
523,Rs. 3.3 Cr,318,4.0 ,10 Feet,,2.5,,5.0,4.0,,,Naya Bazar, Kathmandu
524,Rs. 4.15 Cr,1.1,4.0 ,20 Feet,,2.5,,4.0,4.0,,,Nagdaha, Lalitpur
525,Rs. 1.9 Cr,252,4.0 ,16 Feet,,2.5,,,,,,Thecho, Lalitpur
526,Rs. 3.05 Cr,297,4.0 ,13 Feet,,2.5,,5.0,4.0,,,Icimod, Lalitpur
527,Rs. 4 Cr,195,4.0 ,26 Feet,North,2.5,,3.0,3.0,,,Imadol, Lalitpur
528,Rs. 7 Cr,230,4.0 ,12-18 Feet,North-East,3.5,,3.0,,,,Nakhipot, Lalitpur
529,Rs. 4.19 Cr,7.3,5.0 ,20 Feet,,2.5,,5.0,4.0,,,Godawari, Lalitpur
530,Rs. 2.5 Cr,241,3.0 ,10 Feet,South,3.5,,7.0,3.0,,,Chunikhel, Kathmandu
531,Rs. 5.1 Cr,347,5.0 ,12 Feet,North,2.5,,,,,,Gairidhara, Kathmandu
532,Rs. 5.6 Cr,156,6.0 ,10-12 Feet,,2.5,,5.0,4.0,,,Lazimpat, Kathmandu
533,Rs. 3.5 Cr,241,6.2 ,8 Feet,West,2.5,,4.0,2.0,,,Chabahil, Kathmandu
534,"Rs. 80,000 /m",181,6.1 ,13 Feet,North-West,,,,,,,Sitapaila, Kathmandu
535,Rs. 2.2 Cr,388,3.1 ,12 Feet,South,3.0,,,,,,Sano thimi, Bhaktapur
536,Rs. 3.5 Cr,369,3.0 ,12-16 Feet,,3.5,,4.0,4.0,,,Chappal karkhana, Kathmandu
537,Rs. 1.8 Cr,185,4.0 ,13 Feet,North-East,1.0,,3.0,2.0,,,Matatirtha, Kathmandu
538,Rs. 5.5 Cr,255,6.2 ,13 Feet,South-East,2.5,,6.0,5.0,,,Bansbari, Kathmandu
539,Rs. 2.9 Cr,294,5.3 ,13-20 Feet,,2.5,,4.0,5.0,,,Dahachowk, Kathmandu
540,Rs. 5.5 Cr,481,4.2 ,40 Feet,South-East,2.5,,3.0,4.0,,,Bhaisepati, Lalitpur
541,Rs. 2.75 Cr,226,2.2 ,20 Feet,South,2.5,,,3.0,,,Swoyambhu, Kathmandu
542,Rs. 3.65 Cr,237,5.0 ,13 Feet,South,3.0,,5.0,4.0,,,Bafal, Kathmandu
543,Rs. 6.15 Cr,1.1,6.0 ,13 Feet,South,2.5,,5.0,3.0,,,Chapali, Kathmandu
545,Rs. 1.7 Cr,178,3.2 ,10 Feet,South-East,2.5,,6.0,3.0,,,Chandragiri, Kathmandu
546,Rs. 1.7 Cr,290,3.1 ,11 Feet,North,2.5,,6.0,,,,Thankot, Kathmandu
547,Rs. 1.35 Cr,219,3.0 ,22 Feet,West,3.0,,7.0,2.0,,,Thankot, Kathmandu
548,Rs. 1.65 Cr,637,3.3 ,10-12 Feet,North-East,3.0,,4.0,,,,Kalanki, Kathmandu
549,Rs. 2.55 Cr,351,3.0 ,13 Feet,West,2.5,,4.0,4.0,,,Imadol, Lalitpur
551,Rs. 2.5 Cr,262,4.2 ,12 Feet,South-West,2.5,,6.0,3.0,,,Manamaiju, Kathmandu
552,Rs. 2.9 Cr,230,12.0 ,13 Feet,South,2.5,,14.0,6.0,,,Godamchaur, Lalitpur
553,Rs. 3.98 Cr,180,5.0 ,13 Feet,,3.5,,5.0,3.0,,,Naya Thimi, Bhaktapur
554,Rs. 4.65 Cr,585,4.3 ,16 Feet,,2.5,,4.0,4.0,,,Budhanilkantha, Kathmandu
555,Rs. 3.2 Cr,1.3,5.0 ,8 Feet,North,2.5,,,3.0,,,Tripureshwor, Kathmandu
556,Rs. 5.15 Cr,221,8.3 ,13 Feet,South-West,2.0,,5.0,3.0,,"Earthquake Resistant,Parquet,Fridge,Sofa,Dining Room,Microwave,Water Purifier,Washing Machine,Bed Room,Iron,Parking,+ 8 See More",Budhanilkantha, Kathmandu
557,Rs. 5.8 Cr,427,10.0 ,13 Feet,East,2.5,,4.0,2.0,,,Dhapasi, Kathmandu
558,Rs. 2.2 Cr,370,3.3 ,30 Feet,West,3.0,,4.0,,,,Kadaghari, Kathmandu
559,Rs. 14 Cr,196,5.0 ,40 Feet,East,6.5,,,,,,Kupandole, Lalitpur
560,Rs. 2.35 Cr,553,2.5 ,13 Feet,East,4.0,,3.0,3.0,,,Banasthali, Kathmandu
561,Rs. 4.5 Cr,454,6.0 ,5 Feet,South,3.5,,7.0,4.0,,,Kumaripati, Lalitpur
562,Rs. 3.15 Cr,1.3,3.1 ,10 Feet,North-West,3.5,,,,,,Swoyambhu, Kathmandu
563,Rs. 4.98 Cr,221,5.3 ,9 Feet,,4.0,,11.0,4.0,,,Shantinagar, Kathmandu
564,Rs. 3 Lac/m,196,16.0 ,20 Feet,North,5.0,,,,,,Naxal, Kathmandu
565,Rs. 3.7 Cr,201,3.2 ,12-14 Feet,North-East,2.5,,4.0,3.0,,,Bafal, Kathmandu
567,Rs. 2.7 Cr,432,3.2 ,13 Feet,South,3.5,,,,,,Sundarbasti, Kathmandu
568,Rs. 3.8 Cr,4.9,4.2 ,20 Feet,,2.5,,5.0,4.0,,"Earthquake Resistant,Parquet,Gym,CC Camera,Power Backup,Modular Kitchen,Parking,Bathroom,Drinking Water,Internet,Swimming Pool,+ 3 See More",Taukhel, Lalitpur
569,Rs. 1.35 Cr,421,2.2 ,10 Feet,East,1.0,,,,,,Tahachal, Kathmandu
570,Rs. 3.95 Cr,849,5.0 ,20 Feet,,2.5,,6.0,5.0,,,Sundarbasti, Kathmandu
572,Rs. 3.25 Cr,158,5.3 ,13 Feet,South-East,3.0,,6.0,3.0,,,Kapan, Kathmandu
573,Rs. 2.7 Cr,451,3.2 ,20 Feet,West,2.5,,5.0,4.0,,,Imadol, Lalitpur
574,Rs. 2.85 Cr,572,3.3 ,13 Feet,North-West,2.5,,4.0,4.0,,,Imadol, Lalitpur
575,Rs. 1.5 Cr,1k ,3.0 ,10-24 Feet,South,2.5,,4.0,3.0,,,Danchhi, Kathmandu
577,Rs. 2.75 Cr,829,3.0 ,13 Feet,South-East,3.0,,5.0,3.0,,,Imadol, Lalitpur
578,Rs. 6.75 Cr,317,4.0 ,12-15 Feet,,2.5,,8.0,8.0,,,Bhaisepati, Lalitpur
579,Rs. 2.9 Cr,270,3.3 ,13 Feet,,2.5,,,,,,Bhangal , Kathmandu
580,Rs. 2.98 Cr,154,4.0 ,20 Feet,,2.5,,,,,,Sundarbasti, Kathmandu
582,Rs. 1.4 Cr,165,4.1 ,10 Feet,North-East,3.0,,2.0,,,,Jhaukhel, Bhaktapur
583,Rs. 3.8 Cr,429,3.3 ,12-15 Feet,,2.5,,4.0,5.0,,,Bhaisepati, Lalitpur
584,Rs. 6.75 Cr,180,4.0 ,10-12 Feet,,2.5,,8.0,8.0,,,Budhanilkantha, Kathmandu
585,Rs. 6.5 Cr,540,9.5 ,10-15 Feet,,2.0,,4.0,4.0,,,Budhanilkantha, Kathmandu
586,Rs. 1.8 Cr,132,4.0 ,13 Feet,North-East,1.0,,3.0,2.0,,,Matatirtha, Kathmandu
587,Rs. 2.75 Cr,246,3.2 ,13 Feet,,2.5,,4.0,,,,Imadol, Lalitpur
588,Rs. 2.35 Cr,278,2.2 ,8-12 Feet,South,2.5,,8.0,,,,Imadol, Lalitpur
589,Rs. 2.75 Cr,239,3.0 ,8-10 Feet,,2.5,,5.0,4.0,,,Imadol, Lalitpur
590,Rs. 2.6 Cr,165,3.1 ,13 Feet,,2.5,,5.0,4.0,,,Imadol, Lalitpur
591,Rs. 2.45 Cr,293,3.0 ,10 Feet,North-East,2.5,,7.0,4.0,,,Tyanglafat, Kathmandu
592,Rs. 2.55 Cr,138,3.0 ,13 Feet,West,3.0,,5.0,3.0,,,Kageshwori, Kathmandu
593,Rs. 2.25 Cr,110,4.0 ,13 Feet,,2.5,,,,,,Chandragiri, Kathmandu
594,Rs. 1.31 Cr,260,3.0 ,12 Feet,,2.0,,6.0,,,,Chandragiri, Kathmandu
596,Rs. 2.2 Cr,267,3.1 ,13 Feet,East,2.5,,,,,,Thaiba, Lalitpur
597,Rs. 2.35 Cr,214,3.1 ,13 Feet,North,2.5,,4.0,5.0,,,Imadol, Lalitpur
598,Rs. 2.1 Cr,226,2.3 kattha,13 Feet,North,2.5,,4.0,4.0,,,Imadol, Lalitpur
599,Rs. 4.25 Cr,223,4.0 ,13 Feet,South,2.5,,6.0,4.0,,,Imadol, Lalitpur
600,Rs. 1.9 Cr,181,3.0 ,10 Feet,,2.5,,,,,,Chandragiri, Kathmandu
603,"Rs. 60,000 /m",253,8.0 ,12-15 Feet,,2.5,,3.0,,,,Kirtipur, Kathmandu
605,Rs. 4 Cr,444,5.0 ,15 Feet,South-East,2.5,,6.0,6.0,,,Budhanilkantha, Kathmandu
606,Rs. 3 Cr,2.8,3.0 ,13 Feet,West,2.5,,4.0,3.0,,,Thulobharyang, Kathmandu
608,Rs. 5.5 Cr,408,4.2 ,12-15 Feet,South,2.0,,3.0,4.0,,,Bhaisepati, Lalitpur
609,Rs. 6.2 Cr,416,10.0 ,14 Feet,South-East,2.5,,4.0,,,,Chappal karkhana, Kathmandu
610,Rs. 4 Cr,353,5.0 ,15 Feet,South-East,2.5,,6.0,6.0,,,Budhanilkantha, Kathmandu
611,Rs. 3.8 Cr,225,5.1 ,14 Feet,South,2.5,,5.0,3.0,,,Pasikot, Kathmandu
612,Rs. 1.2 Cr,464,4.1 ,3 Feet,West,3.0,,,,,,Tarkeshwor, Kathmandu
613,Rs. 2.67 Cr,255,5.0 ,20 Feet,West,2.5,,6.0,,,,Chandragiri, Kathmandu
614,Rs. 2.85 Cr,305,3.4 ,10 Feet,North-East,3.0,,17.0,,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Solar,Dining Room,AirCon,Bed Room,Parking,Internet,+ 4 See More",Paiyuntar, Kathmandu
615,Rs. 1.8 Cr,283,4.2 ,20 Feet,North-East,3.0,,2.0,,,,Kapan, Kathmandu
616,Rs. 3.3 Cr,155,4.2 ,20 Feet,West,3.5,,6.0,,,,Battisputali, Kathmandu
617,Rs. 2.55 Cr,141,3.2 ,20 Feet,East,2.5,,9.0,7.0,,,Nakhipot, Lalitpur
618,Rs. 2.1 Cr,166,2.3 ,13 Feet,,2.5,,,2.0,,,Imadol, Lalitpur
619,Rs. 7.65 Cr,451,9.0 ,12-15 Feet,,2.5,,5.0,4.0,,,Dhobighat, Lalitpur
620,Rs. 12.5 Cr,686,22.0 ,12-18 Feet,,2.5,,6.0,,,,Budhanilkantha, Kathmandu
621,Rs. 2.5 Cr,1.5,3.1 ,10 Feet,North,3.0,,,,,,Gairi Gaun, Kathmandu
624,Rs. 3.1 Cr,680,3.3 ,15 Feet,South-West,2.5,,5.0,4.0,,,Bhaisepati, Lalitpur
627,Rs. 3.98 Cr,572,6.0 ,12-15 Feet,South,2.5,,,,,,Sukedhara, Kathmandu
629,Rs. 6.75 Cr,323,7.2 ,13 Feet,North-East,2.5,,6.0,4.0,,,Kupandole, Lalitpur
630,Rs. 1.75 Cr,143,3.0 ,13 Feet,South,3.0,,,,,,Satungal, Kathmandu
631,Rs. 1.5 Cr,264,2.2 ,13 Feet,East,2.5,,,,,,Goldhunga, Kathmandu
632,Rs. 11 Cr,577,11.0 ,13 Feet,South,2.5,,,,,,Thapathali, Kathmandu
633,Rs. 5.5 Cr,479,5.2 ,16 Feet,South-East,2.5,,5.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,AirCon,Microwave,Dining Room,Solar,CC Camera,Water Purifier,+ 13 See More",Bhaisepati, Lalitpur
634,Rs. 3.25 Cr,512,3.3 ,13 Feet,South-East,2.5,,4.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,AirCon,Microwave,Dining Room,Solar,CC Camera,Water Purifier,+ 13 See More",Bhaisepati, Lalitpur
635,Rs. 3.6 Cr,239,7.0 ,10-15 Feet,North-East,2.5,,6.0,2.0,,,Imadol, Lalitpur
636,Rs. 2.5 Cr,133,4.3 ,10 Feet,,3.5,,,,,,Lolang, Kathmandu
637,Rs. 2.75 Cr,214,3.2 ,13 Feet,South-East,3.0,,3.0,,,,Bhangal , Kathmandu
638,Rs. 2.75 Cr,393,3.1 ,16 Feet,South-West,2.5,,3.0,3.0,,,Golfutar, Kathmandu
639,Rs. 4.3 Cr,199,5.0 ,10 Feet,South,3.5,,17.0,10.0,,,Lainchaur, Kathmandu
641,Rs. 2.95 Cr,399,5.0 ,13 Feet,,2.5,,,,,,Balkot, Bhaktapur
642,Rs. 7.75 Cr,957,9.0 ,20 Feet,South-West,2.5,,5.0,4.0,,"Marbel,Parquet,Fridge,Sofa,Microwave,Dining Room,Solar,Water Purifier,CC Camera,Washing Machine,Bed Room,+ 14 See More",Thado Dhunga, Lalitpur
643,Rs. 4.25 Cr,389,6.0 ,20 Feet,South-East,2.5,,3.0,3.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Gym,Sofa,AirCon,Microwave,Dining Room,CC Camera,Solar,+ 15 See More",Sunakothi, Lalitpur
644,Rs. 3.5 Cr,305,3.3 ,22 Feet,,2.5,,5.0,4.0,,,Bhaisepati, Lalitpur
645,Rs. 5.4 Cr,259,5.3 ,20 Feet,South-East,2.5,,7.0,4.0,,,Bagdol, Lalitpur
646,Rs. 4.5 Cr,1k ,5.0 ,15 Feet,North-West,2.5,,5.0,6.0,,,Budhanilkantha, Kathmandu
647,Rs. 3.8 Cr,357,5.1 ,14 Feet,South-West,2.5,,5.0,3.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Solar,Dining Room,Microwave,AirCon,Garden,Bed Room,+ 11 See More",Pasikot, Kathmandu
648,Rs. 2.95 Cr,185,3.3 ,13 Feet,,2.5,,,,,,Bhangal , Kathmandu
649,Rs. 3.45 Cr,367,4.0 ,13 Feet,,2.5,,6.0,5.0,,,Baluwakhani, Kathmandu
651,Rs. 2.85 Cr,275,3.1 ,13 Feet,,3.5,,,,,,Aakasedhara, Kathmandu
