price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA
,0-14-0-0,4000 SQUARE FEET,,8,1,2,2,2.5,"KUMARIPATI, LALITPUR, NEPAL",13 FT,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB10728,2 HOURS AGO,562,NOT FURNISHED,https://www.gharbazar.com/property/details/commercial-house-at-kumaripati-10728,100M,,,
"Rs. 70 (Negotiable)
(Seventy per sq.ft)",1-0-0-0,,,,,,,,"SINAMANGAL, KATHMANDU, NEPAL",20 FT,NORTH-EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB10243,5 MONTHS AGO,513,NOT FURNISHED,https://www.gharbazar.com/property/details/commercial-space-at-sinamanagal-10243,20M,,5700 SQUARE FEET,
"Rs. 2,15,00,000 (Negotiable)
(Two crore fifteen lakh )",0-3-3-0,2250 SQUARE FEET,,4,2,2,4,2.5,"SITAPAILA, KATHMANDU, NEPAL",13FT /16FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06798,2 YEARS AGO,22770,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-sitapaila-6798,100M,,,
"Rs. 200 (Negotiable)
(Two hundred per sq.ft )",2320 SQUARE FEET,,,,,,2,,"TRIPURESWOR, KATHMANDU, NEPAL",20 FT,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB10447,4 MONTHS AGO,389,FULLY FURNISHED,https://www.gharbazar.com/property/details/showroom-space-at-tripureswor-kathmandu-10447,,,,
"Rs. 2,35,00,000 (Negotiable)
(Two crore thirty five lakh )",0-3-0-0,,,13,,1,7,4.5,"SALLAGHARI, BHAKTAPUR, NEPAL",12 FT,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB02688,2 YEARS AGO,2036,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-sallaghari-2688,10M,10 M FR.O.M. SURYA BINAYAK OIL STORE,,
"Rs. 1,25,00,000 (Negotiable)
(1 crore 25 lakh)",0-2-2-2,,,4,1,1,2,2,"GOTHATAR, KATHMANDU, NEPAL",13 FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05342,5 YEARS AGO,4898,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-gothatar-5342,50M,,,
"Rs. 28,50,000 (Negotiable)
(2850000)",1-01-01-0,,,,,,,,"BUDHANILKANTHA UPAR CHESINI NAJIK, KATHMANDU, NEPAL",20 FT,NONE,HOUSE (RESIDENTIAL),NONE,GB10545,2 MONTHS AGO,120,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilkantha-upar-chesini-najik-10545,,,,
"Rs. 18,000 (Negotiable)
(Eighteen thousand )",0-5-0-0,,,1,1,1,1,,"DHAPAKHEL, LALITPUR, NEPAL",13 FEET,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10014,7 MONTHS AGO,84,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-dhapakhel-10014,,,,
"Rs. 40,000 / month (Negotiable)
(Forty thousand )",0-5-2-0,,,,,,,,"DHOBIGHAT LALITPUR, NEPAL",16 FT,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB08845,2 YEARS AGO,2792,,https://www.gharbazar.com/property/details/land-at-dobhighat-lalitpur-8845,,200 MTR,,
"Rs. 2,35,00,000 (Negotiable)
(Two crore thirty five lakh )",,1455 SQUARE METER,,3,1,1,2,4,"HATTIBAN, LALITPUR, NEPAL",20 FEET,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09950,7 MONTHS AGO,1612,FULLY FURNISHED,https://www.gharbazar.com/property/details/apartment-at-hattiban-lalitpur-9950,,TAKE A RIGHT FROM HATTIBAN ORALO AND WALK 2 MINUTES,,
