,price,LAND AREA,HOUSE AREA,Unnamed: 3,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA,District
304,"Rs. 4,00,00,000 (Negotiable)",0-6-0-0,,,5.0,3.0,1.0,,3.5,MANDIKATAR,13 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10170,6 MONTHS AGO,95,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-mandikatar-10170,,NEAR HAMS HOSPITAL,,, KATHMANDU
305,"Rs. 3,90,00,000 (Negotiable)
(Three crore ninety lakh )",0-5-2-0,0-3-0-0,,7.0,3.0,3.0,4.0,3.0,GATHAGHAR,13 FEET,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09850,5 MONTHS AGO,136,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-gathaghar-9850,,NEAR SIDDHARTHA BANK,,, BHAKTAPUR
306,"Rs. 25,00,000 (Negotiable)
(25 lakh per anna)",0-6-0-0,,,,,,,, KALANKI,15 FT,,LAND (RESIDENTIAL),NONE,GB02986,7 YEARS AGO,2282,,https://www.gharbazar.com/property/details/land-at-kalanki-2986,,,,, KATHMANDU
307,"Rs. 2,10,00,000 (Negotiable)
(Two crore ten lakh )",0-3-0-2,1700 SQUARE FEET,,4.0,1.0,1.0,3.0,2.5, GREEN HILL CITY,20 FT,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06598,2 YEARS AGO,18933,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-mulpani-6598,,,,, KATHMANDU
308,"Rs. 24,000 / month (Negotiable)
(Twenty four thousand )",0-,,,2.0,1.0,1.0,,3.0,GOLFUTAR,ABOVE 20 FT,NORTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB09798,2 WEEKS AGO,68,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-golfutar-9798,,DIRECTLY NEXT TO GOLFUTAR MAIN ROAD (KK MART),,, KATHMANDU
309,"Rs. 35,000 / month (Negotiable)
(Thirty five thousand per month)",0-14-0-0,0-6-0-0,,3.0,1.0,1.0,1.0,1.0,KAPAN,12 FEET,NORTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10077,7 MONTHS AGO,129,,https://www.gharbazar.com/property/details/house-at-kapan-10077,,,,, KATHMANDU
310,"Rs. 15,00,000 (Negotiable)
(Fifteen lakh per aana)",0-4-1-3,,,,,,,,GODAMCHAUR,13 FT,WEST,LAND (RESIDENTIAL),NONE,GB10470,2 WEEKS AGO,1176,,https://www.gharbazar.com/property/details/beautiful-residential-plot-in-godamchaur-godawari-10470,100M,,,, LALITPUR
311,"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-3-0-3,0-3-0-3,,4.0,2.0,2.0,4.0,2.5,IMADOL NAYA BASTI,16FT,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10146,6 MONTHS AGO,107,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-naya-basti-10146,,L.A SCHOOL NEAR,,, KATHMANDU
312,"Rs. 1,98,00,000 (Negotiable)
(One crore ninety eight lakh )",0-3-3-3,,,,,,,,BAFAL,12.5 FT,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10402,4 MONTHS AGO,113,,https://www.gharbazar.com/property/details/land-at-bafal-10402,,650M ETER FROM EVEREST BANK SITAPAILA OUTSIDE RINGROAD,,, KATHMANDU
313,"Rs. 2,25,00,000 (Negotiable)
(2 Crore 25 Lakh)",0-5-0-0,1761 SQUARE FEET,,3.0,1.0,1.0,3.0,2.5,SUNAKOTHI,13 FT,SOUTH-EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05352,4 YEARS AGO,12450,FULLY FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-civil-homes-5352,,,,, LALITPUR
314,"Rs. 2,75,00,000 (Negotiable)
(3-0-2)",0-,,,,,,,,IMADOL DOWNTOWN HOUSING NEAR,20 FEET,SOUTH,HOUSE (RESIDENTIAL),NONE,GB10263,5 MONTHS AGO,61,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-downtown-housing-near-10263,,,,, KATHMANDU
315,,7-0-0-0,14400 SQUARE FEET,,16.0,,2.0,8.0,6.0, PAIYATAR,2 LANE,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB08363,1 YEAR AGO,3649,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-kapan-8363,4200M,,,, KATHMANDU
316,"Rs. 3,90,00,000 (Negotiable)
(Three crore ninety lakh )",0-4-0-0,,,5.0,1.0,1.0,7.0,4.5,DHUMBARAHI,20 FEET,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07424,2 YEARS AGO,4139,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-dhumbarahi-7424,150M,,,, KATHMANDU
317,"Rs. 60,000 (Negotiable)
(Sixty thousand per month)",1-4-0-0,0-4-0-0,,10.0,,,2.0,2.5, CHANDRAGIRI,20 FEET,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06987,4 YEARS AGO,2338,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-checkpost-chandragiri-6987,150M,,,, KATHMANDU
318,"Rs. 45,00,000
(Forty five lakh )",0-6-0-0,,,,,,,, NAIKAP,18 FT,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10655,5 HOURS AGO,1989,,https://www.gharbazar.com/property/details/land-opportunity-in-tinthana-kalanki-at-best-price-10655,75M,,,, KATHMANDU
319,"Rs. 80,00,000 (Negotiable)
(Eighty lakh )",0-3-2-0,,,3.0,4.0,1.0,3.0,3.0,LAGANKHEL,20 FT,NORTH,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04751,4 YEARS AGO,9032,NOT FURNISHED,https://www.gharbazar.com/property/details/commercial-building-at-patan-industrial-area-4751,200M,,,, LALITPUR
320,"Rs. 2,70,00,000 (Negotiable)
(Two crore seventy lakh )",0-4-0-0,,,4.0,,,3.0,2.5,PADMA COLONY,20 FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08859,2 YEARS AGO,6307,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-padma-colony-8859,,,,, KATHMANDU
321,"Rs. 8,00,000 (Negotiable)
(Eight lakh per aana)",3401 SQUARE METER,,,,,,,,SARANGKOT,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB08334,2 YEARS AGO,3783,,https://www.gharbazar.com/property/details/land-at-sarangkot-pokhara-8334,,,,, KASKI
322,"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-5-2-0,,,12.0,1.0,6.0,8.0,4.0, SHIVACHOWK,14 FT,SOUTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04723,3 YEARS AGO,4148,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-jorpati-4723,100M,,,, KATHMANDU
323,"Rs. 5,00,000 (Negotiable)
(Five lakh per month)",2-0-0-0,,,6.0,2.0,1.0,6.0,3.0, KUPONDOLE,20 FEET,SOUTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06854,1 YEAR AGO,2931,SEMI FURNISHED,https://www.gharbazar.com/property/details/commercial-property-at-kupondole-6854,200M,,,, LALITPUR
324,"Rs. 6,50,00,000 (Negotiable)
(Six crore fifty lakh )",0-13-0-0,0-6-0-0,,9.0,2.0,2.0,3.0,2.5,,8 METER,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02231,2 YEARS AGO,3357,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-gaurighat-2231,136M,,,,
325,"Rs. 2,85,00,000 (Negotiable)
(Two crore eighty five lakh )",0-3-2-0,0-3-2-0,,6.0,2.0,2.0,3.0,2.5,IMADOL CHAMPION FUSTAL,13 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10145,6 MONTHS AGO,71,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-champion-fustal-10145,,HATTIBAN,,, LALITPUR
326,,0-6-0-0,,,,,,,,GREEN HILL CITY,11 METER,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10502,3 MONTHS AGO,83,,https://www.gharbazar.com/property/details/land-at-green-hill-city-10502,,,,, KATHMANDU
327,"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",128 SQUARE METER,28682868 SQUARE FEET,,5.0,3.0,3.0,,3.5,GONGABU,13 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10370,5 MONTHS AGO,93,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-gongabu-10370,,12 FT,,, KATHMANDU
328,"Rs. 4,00,00,000 (Negotiable)
(Four crore )",0-4-0-1,,,9.0,3.0,3.0,4.0,4.0, BALKUMARI,26 FT,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06778,4 YEARS AGO,2764,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-balkumari-6778,150M,,,, LALITPUR
329,"Rs. 3,25,00,000 (Negotiable)
(3 aana 2 paisa)",0-3-2-0,0-3-2-0,,6.0,2.0,2.0,,3.5,IMADOL SITAL HEIGHT,16,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10257,5 MONTHS AGO,90,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-sital-height-10257,,LUBHU LAMATAR HIGHWAY,,, LALITPUR
330,"Rs. 78,00,000 (Negotiable)
(Per ana)",0-,,,,,,,,TRIPURESHWOR,10 FEET,SOUTH-EAST,SCHOOL (COMMERCIAL/RESIDENTIAL),WALL BEARING,GB10445,3 MONTHS AGO,121,NOT FURNISHED,https://www.gharbazar.com/property/details/house-land-at-tripureshwor-10445,,5 MINS FAR FROM SAJAN GOTH INDIAN RESTAURANT,,, KATHMANDU
331,"Rs. 3,50,000 (Negotiable)
(Three lakh fifty thousand )",,,,,,,,,MASALA PASAL ICIMOD DHAPAKHEL LALITPUR,12 FEET,NONE,HOUSE (RESIDENTIAL),NONE,GB10086,7 MONTHS AGO,52,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-masala-pasal-icimod-dhapakhel-lalitpur-10086,,,,, KATHMANDU
332,"Rs. 50,00,000 (Negotiable)
(Fifty lakh )",0-6-1-0,,,,,,,, BUDHANILKANTHA,20 FEETT,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10386,4 MONTHS AGO,53,,https://www.gharbazar.com/property/details/land-at-pasikot-budhanilkantha-10386,,800M,,, KATHMANDU
333,"Rs. 15,00,000 (Negotiable)
(Fifteen lakh )",15 DHUR,,,,,,,,BIRATNAGAR EAST OF BIRATESWER MANDIR,20,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB09998,8 MONTHS AGO,62,,https://www.gharbazar.com/property/details/land-at-biratnagar-east-of-birateswer-mandir-9998,,,,, MORANG
334,,2-0-0-0,,,10.0,3.0,3.0,6.0,3.0, DHALKO,15 FT,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05707,5 YEARS AGO,3067,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-land-at-kushlechaur-5707,100M,10,,, KATHMANDU
335,"Rs. 5,00,00,000 (Negotiable)
(Five crore )",0-22-0-0,,,21.0,,,,3.0,SUNDARBASTI BHANGAL NEAR GOLFUTAR,25 FT,SOUTH-EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05657,5 YEARS AGO,2145,NOT FURNISHED,https://www.gharbazar.com/property/details/house-land-at-bhangal-5657,600M,,,, KATHMANDU
336,"Rs. 15,50,000 (Negotiable)
(15.5 lakh and 14 lakh per aana)",0-5-2-0 0-3-2-0,,,,,,,, KIRTIPUR,13 FEET,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB06393,4 YEARS AGO,3642,,https://www.gharbazar.com/property/details/land-at-chandragiri-6393,1600M,,,, KATHMANDU
337,"Rs. 3,50,00,000 (Negotiable)
(3 Crore 50 Lakh)",0-6-0-0,2100 SQUARE FEET,,3.0,1.0,2.0,3.0,2.5,SUNAKOTHI,13 FT,SOUTH-EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05351,5 YEARS AGO,8415,FULLY FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-civil-homes-5351,100M,,,, LALITPUR
338,"Rs. 3,25,00,000 (Negotiable)
(Three Crore Twenty Five Lakhs )",0-4-0-0,3775 SQUARE FEET,,10.0,4.0,1.0,5.0,3.5,NEAR NIKHILESHWOR TEMPLE,10 FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05833,5 YEARS AGO,5212,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-koteshwor-5833,200M,,,, KATHMANDU
339,"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-4-0-0,,,8.0,1.0,3.0,4.0,2.5,NEAR NEW DIAMOND ACADEMY,10,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04607,4 YEARS AGO,20787,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-kalanki-4607,1300M,175,,, KATHMANDU
